Language	Latitude	Longitude	
Arabic	24.633333	46.716667	
Archi	42.008742	47.262584	
Basque_Western	43.263013	-2.934985
Basque_Central	42.85	-2.68	
Bulgarian	42.697708	23.321868	
Buryat	51.823879	107.607338	
Cantonese	22.396428	114.109497	
Greek_Calabria	38.004922	15.958230	
German	52.520007	13.404954	
Dutch	52.377956	4.89707	
English	51.507351	-0.127758	
Evenki	54.705860	128.857224	
Estonian	59.436961	24.753575	
Even_1	67.792809	130.401779	
Finnish	60.173324	24.941025	
French	48.856614	2.352222	
Greek	37.983917	23.729360	
Hebrew	31.768319	35.213710	
Hindi	28.613939	77.209021	
Hungarian	47.497912	19.040235	
Icelandic	64.128288	-21.827774	
Italian	41.902784	12.496366	
Japanese	35.689488	139.691706	
Kazakh	43.238949	76.889709	
Khanty	63.703611	67.238056
Korean	37.566535	126.977969		
Kirghiz	42.882004	74.582748	
Mandarin	39.904211	116.407395	
Mari	56.438457	47.960776
Norwegian	59.91	10.75	
Pashto	34.094136	71.157484	
Polish	52.229676	21.012229	
Romanian	44.426767	26.102538	
Russian	55.755826	37.617300
Siciliano	37.580670	13.752140	
Spanish	40.416775	-3.703790		
Serbo-Croatian	45.815011	15.981919	
Tamil	13.082680	80.270718	
Telugu	17.385044	78.486671	
Turkish	39.933364	32.859742	
Udmurt	57.067022	53.027795	
Uzbek	41.311081	69.240562	
Yakut	62.035452	129.675475	
Yukaghir	65.498333	151.098611
